,DESCRIPTION,FDC
0,coffee  no cream sugar,"Coffee, pre-sweetened with sugar"
1,orange grapefruit juice,"Orange-grapefruit juice, canned or bottled, unsweetened"
2,fruit drinks,FRUIT DRINKS
3,sugars honey,Honey
4,milk 2%,"Milk, reduced fat (2%)"
5,apple juice,APPLE JUICE
6,soft drinks  caff,"Soft drink, cola"
7,other juice,"Chicken ""wings"" with other sauces or seasoning, from other sources"
8,bananas,"Bananas, dehydrated, or banana powder"
9,onions no fat added,"Onions, cooked, fat added"
10,cheese,CHEESE
11,milk whole,"Milk, whole"
12,tomato catsup,Catsup
13,breads rolls white,"Roll, egg bread"
14,tea  no cream sugar,"Tea, iced, instant, green, pre-sweetened with sugar"
15,rte cereal > half whole grain,"Cereals ready-to-eat, WEETABIX whole grain cereal"
16,apples,APPLES
17,other vegetables no fat added,"Rice, brown, with other vegetables, fat added"
18,artificial sweetener in coffee tea,"Ginger root, pickled, canned, with artificial sweetener"
19,salad drsg  on salad or vegetable,Gelatin salad with vegetables
20,candy not chocolate,Chocolate candy
21,candy chocolate,Chocolate candy
22,potatoes fried,"Potato, french fries, from fresh, fried"
23,other fruits,"Cereal, other, fruit flavored"
24,cookies brownies,"Cookie, butterscotch, brownie"
25,soft drinks  caff,"Soft drink, cola"
26,cream  or half&half,"Cream, half and half"
27,rte cereal <half whole grain,"Cereals ready-to-eat, WEETABIX whole grain cereal"
28,eggs,EGGS
29,crackers,CRACKERS
30,grapes,GRAPES
31,milk 2%,"Milk, reduced fat (2%)"
32,potato other chips (not corn),"Potato chips, other flavored"
33,nuts seeds butters,"Seeds, sunflower seed butter, without salt"
34,potatoes white no fat added,"Potato, canned, no added fat"
35,butter  on bread pan waffle,"Bread, pan dulce, sweet yeast bread"
36,tortillas tacos corn,"Taco, corn tortilla, chicken, cheese"
37,bread not white,"Bread, white"
38,jams jelly fruit butters,"Jam or jelly, fruit juice sweetened"
39,carrots no fat added,"Carrots, canned, cooked, no added fat"
40,coffee decaf no cream sugar,"Coffee, pre-sweetened with sugar"
41,yogurt,YOGURT
42,grape juice,GRAPE JUICE
43,cold cuts poultry,"Gravy, poultry"
44,string beans no fat added,"Beans and tomatoes, fat added"
45,tomatoes raw,"Tomatoes, raw"
46,rice grains white,"Rice, white, medium-grain, cooked, unenriched"
47,tomato salsa,TOMATO SALSA
48,beans,BEANS
49,milk whole,"Milk, whole"
50,peppers no fat added,"Peppers and onions, cooked, fat added"
51,butter  on pot vegetable grains,"Baby Toddler vegetables, with grain"
52,ice cream,ICE CREAM
53,mayonnaise,MAYONNAISE
54,sugars honey not in coffee tea,"Coffee, pre-sweetened with sugar"
55,margarine  on bread pan waffle,"Bread, pan dulce, sweet yeast bread"
56,nuts seeds whole,"Seeds, sesame seeds, whole, dried"
57,chicken mixtures,Flavored rice mixture
58,breads rolls white,"Roll, egg bread"
59,lettuce not dark green,"Lettuce, green leaf, raw"
60,broccoli no fat added,"Broccoli and cauliflower, cooked, fat added"
61,lettuce dark green,"Lettuce, green leaf, raw"
62,cucumbers,CUCUMBERS
63,donuts sweet rolls danish pop tarts,"Roll, sweet, no frosting"
64,non-dairy cream powdered,"Frozen dessert, non-dairy"
65,oils olive,Olive oil
66,ckd spinach greens no fat added,"Spinach, canned, cooked, no added fat"
67,oils corn,Corn oil
68,pickled vegetable fruit,"Vegetables, pickled"
69,maple syrup on pancakes,"Syrups, table blends, pancake, with 2% maple"
70,vegetable med no fat added,"Vegetables, stew type, cooked, fat added"
71,margarine  on pot vegetable grains,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub"
72,soft drinks diet caff,"Soft drink, cola, diet"
73,tea decaf no cream sugar,"DECAF DIET SUGAR FREE ICED TEA, DECAF"
74,milk nonfat,"Soy milk, nonfat"
75,corn no fat added,"Peas and corn, cooked, fat added"
76,tea  no cream sugar,"Tea, iced, instant, green, pre-sweetened with sugar"
77,oranges tangelo,"TANGELO SORBETTO, TANGELO"
78,milk 1%,"Milk, low fat (1%)"
79,popcorn,POPCORN
80,milk 2%,"Milk, reduced fat (2%)"
81,peas no fat added,"Peas and corn, cooked, fat added"
82,bread not white,"Bread, white"
83,fruit drinks diet,"Fruit juice drink, diet"
84,macaroni and cheese,MACARONI AND CHEESE
85,beef ground meatbs loaf mixtures,"Beef, ground"
86,tomato vegetable juice,"Tomato and vegetable juice, 100%"
87,meal replacement liquid,"Butter replacement, liquid"
88,soft drinks  decaf,"Soft drink, cola"
89,biscuits,BISCUITS
90,english muffin bagel,"Muffin, English"
91,pears,PEARS
92,tea decaf no cream sugar,"DECAF DIET SUGAR FREE ICED TEA, DECAF"
93,milk whole,"Milk, whole"
94,gravy,Biscuit with gravy
95,corn chips,CORN CHIPS
96,margarine low-fat on bread pan waffle,"Bread, pan dulce, sweet yeast bread"
97,bacon,BACON
98,ham cold cut lunch meat,"Pasta with sauce and meat, from school lunch"
99,pizza with meat,Topping from meat pizza
100,applesauce ckd apples,"Applesauce, regular"
101,dried fruit,"Fruit mixture, dried"
102,tomatoes raw,"Tomatoes, raw"
103,beef burgers,BEEF BURGERS
104,hot dogs,HOT DOGS
105,pork,PORK
106,chili,CHILI
107,cheese lowfat,"Cheese, cottage, lowfat, with fruit"
108,beer,Beer
109,tuna canned,"Fish, tuna, canned"
110,oatmeal,OATMEAL
111,peaches nectarines plums,"BOLTHOUSE FARMS, FRUIT JUICE SMOOTHIE + BOOSTS, NECTARINE, PLUM AND PEACH, NECTARINE, PLUM AND PEACH"
112,pineapple,PINEAPPLE
113,granola bars,GRANOLA BARS
114,cold cuts,"SUBWAY, cold cut sub on white bread with lettuce and tomato"
115,rice grains wholegrain,"WHOLEGRAIN BROWN RICE, WHOLEGRAIN BROWN"
116,sausage,SAUSAGE
117,cakes,CAKES
118,beef burgers lean,"BEEF LEAN BURGERS, BEEF"
119,oils canola,"Oil, canola"
120,soft drinks diet decaf,"Soft drink, cola, diet"
121,raw spinach greens,"Spinach, raw"
122,oils other,"Chicken ""wings"" with other sauces or seasoning, from other sources"
123,alcohol beverage liquor,"Beverages, Malt liquor beverage"
124,beef stews pot pies mixtures,"Beef, pot roast"
125,tortillas tacos wheat,"Tortilla, whole wheat"
126,soft drinks diet caff,"Soft drink, cola, diet"
127,muffins dessert breads,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)"
128,cornbread muffins,CORNBREAD MUFFINS
129,frozen yogurt ices sorbet,Sorbet
130,pasta meat fish sauce,"Pasta with cream sauce and meat, restaurant"
131,puddings custards,"Babyfood, dessert, custard pudding, vanilla, junior"
132,strawberries,STRAWBERRIES
133,squash,"Spaghetti squash, cooked"
134,margarine diet on pot vegetable grains,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub"
135,lasagna ravioli shells,Lasagna with meat
136,non-dairy cream liquid,"Frozen dessert, non-dairy"
137,roast beef in sandwich,Roast beef sandwich on wheat
138,pretzels,PRETZELS
139,oranges tangelo,"TANGELO SORBETTO, TANGELO"
140,soft drinks  decaf,"Soft drink, cola"
141,fish fried,"Fish, bass, fried"
142,wine,"Wine, rice"
143,shortribs spareribs,"Beef, shortribs"
144,turkey,TURKEY
145,oatmeal,OATMEAL
146,milk nonfat skim,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)"
147,cot ricot cheese,"Cheese, processed cheese food"
148,coleslaw,Coleslaw
149,caulifl br spr no fat added,"Bulgur, fat added"
150,chicken light without skin,"Squab, (pigeon), light meat without skin, raw"
151,chicken turkey ground,"Turkey, ground"
152,beer,Beer
153,strawberries,STRAWBERRIES
154,melons,Horned melon (Kiwano)
155,beef roast,"Beef, roast"
156,mayonnaise diet,"Mayonnaise, low sodium, low calorie or diet"
157,cabbage sauerkraut,Sauerkraut
158,corn no fat added,"Peas and corn, cooked, fat added"
159,peaches nectarines plums,"BOLTHOUSE FARMS, FRUIT JUICE SMOOTHIE + BOOSTS, NECTARINE, PLUM AND PEACH, NECTARINE, PLUM AND PEACH"
160,pasta salad,PASTA SALAD
161,beef steaks,"Beef, sandwich steak"
162,milk 1%,"Milk, low fat (1%)"
163,potato salads,Potato salad with egg
164,ice cream ice milk lowfat,Ice cream cake
165,cream cheese,CREAM CHEESE
166,sweet potatoes no fat added,"Sweet potato, baked, fat added"
167,stuffing dumplings,"Dumpling, no meat"
168,sour cream,SOUR CREAM
169,fish not fried,"Fish, bass, fried"
170,melons,Horned melon (Kiwano)
171,soft drinks diet decaf,"Soft drink, cola, diet"
