,FFQ_FOOD,VALUE
0,1.0,Milk/ whole in cereal
1,2.0,Milk/ 2% in cereal
2,3.0,Milk/ 1% in cereal
3,4.0,Milk/ nonfat/skim in cereal
4,5.0,Milk/ soy/ in cereal
5,6.0,Milk/ rice/ in cereal
6,7.0,Non-dairy crm/ powdrd/ reg in coffee or tea
7,8.0,Non-dairy crm/ powdrd/ diet in coffee or tea
8,9.0,Non-dairy crm/ liquid/ reg in coffee or tea
9,10.0,Non-dairy crm/ liquid/ diet in coffee or tea
10,11.0,Cream/ reg or 1/2&1/2 in coffee or tea
11,12.0,Milk/ whole to drink
12,13.0,Milk/ 2% to drink
13,14.0,Milk/ 1% to drink
14,15.0,Milk/ nonfat to drink
15,16.0,Milk/ soy/ to drink
16,17.0,Milk/ rice/ to drink
17,18.0,Milk/ whole in coffee or tea
18,19.0,Milk/ 2% in coffee or tea
19,20.0,Milk/ 1% in coffee or tea
20,21.0,Milk/ nonfat/skim in coffee or tea
21,22.0,Milk/ evap/cond in coffee or tea
22,23.0,Milk/ soy in coffee or tea
23,24.0,Milk/ rice in coffee or tea
24,25.0,Meal repl/ liquid
25,26.0,Yogurt/ all
26,27.0,Cot/ricot cheese
27,28.0,Sour cream/ reg
28,29.0,Sour cream/ lowfat
29,30.0,Cheese/ reg
30,31.0,Cheese/ lowfat
31,32.0,Cream cheese/ reg
32,33.0,Cream cheese/ lowfat
33,34.0,Ice cream/ reg
34,35.0,Ice cream/ice milk/ lowfat
35,36.0,Frozen yogurt/ ices/ sorbet/ etc
36,37.0,Puddings/custards
37,38.0,Beef/ steaks/ reg
38,39.0,Beef/ steaks/ lean
39,40.0,Beef/ roast
40,41.0,Roast beef in sandwich
41,42.0,Beef stews/pot pies/mixtures
42,43.0,Beef/ burgers/ lean
43,44.0,Beef/ burgers / reg
44,45.0,Beef/ gr/ meatballs/loaf/mixtures
45,46.0,Ham/ not luncheon
46,47.0,Pork
47,48.0,Bacon/ regular
48,49.0,Bacon/ lean/Canadian
49,50.0,Sausage/ reg
50,51.0,Sausage/ turk/lowfat
51,52.0,Hot dogs/ regular
52,53.0,Hot dogs/ turky/lowfat
53,54.0,Shortribs/spareribs
54,55.0,Liver/ liverwurst
55,56.0,Cold cuts/ regular
56,57.0,Cold cuts/ lowfat
57,58.0,Cold cuts/ poultry
58,59.0,Ham/ cold cut/ lunch meat/ reg
59,60.0,Ham/ cold cut/ lunch meat/ lowfat
60,61.0,Chicken/ fr/ light w/skin
61,62.0,Chicken/ fr/ light wo/skin
62,63.0,Chicken/ fr/ dark w/skin
63,64.0,Chicken fr/ dark wo/skin
64,65.0,Chicken/ light w/skin
65,66.0,Chicken/ light wo/skin
66,67.0,Chicken/ dark w/skin
67,68.0,Chicken/ dark wo/skin
68,69.0,Chicken/turkey ground
69,70.0,Chicken/ mixtures
70,71.0,Turkey
71,72.0,Tofu/ soy meats
72,73.0,Tuna canned
73,74.0,Fish fried
74,75.0,Fish/ not fried
75,76.0,Fish/ oysters
76,77.0,Eggs/ regular
77,78.0,Eggs/ whites only
78,79.0,Eggs/ substitutes
79,80.0,Eggs/ salad
80,81.0,Soups/ broth w ndles/rice
81,82.0,Soups/ w veggies
82,83.0,Soups/ bean-type
83,84.0,Soups/ creamed
84,85.0,Eng muf/bagel
85,86.0,Breads/rolls/ white
86,87.0,Bread/not white
87,88.0,Crackers
88,89.0,Stuffing/dumplings
89,90.0,Cornbread/muffins
90,91.0,Biscuits/ all
91,92.0,Donuts/ swt rolls/ danish/ pop tarts
92,93.0,Muffins/dessert breads
93,94.0,Cookies/ brownies
94,95.0,Granola bars
95,96.0,Cakes
96,97.0,Pies/ fruit
97,98.0,"Pies, crm/custrd/othr"
98,99.0,Crisps/cobblers
99,100.0,Popcorn
100,101.0,Pretzels
101,102.0,Nuts/seeds/ whole
102,103.0,Nuts/seeds/ butters
103,104.0,Pancke/ waff/ Fr tst
104,105.0,RTE cereal/<half whole grain
105,106.0,Rice/grains/ white
106,107.0,Pasta/ no fat added
107,108.0,Pasta/ fat added
108,109.0,Pasta/ meatless red sauce
109,110.0,Pasta/ meat/fish sauce
110,111.0,Lasagna/ rav/ shells/ etc
111,112.0,Macaroni and cheese
112,113.0,Pasta salad
113,114.0,Pizza/ with meat
114,115.0,Pizza/ without meat
115,116.0,Oranges/ tangelo etc
116,117.0,Grapefruit
117,118.0,Apples
118,119.0,Applesauce/ckd apples
119,120.0,Pears
120,121.0,Peaches/nectarines/plums
121,122.0,Bananas
122,123.0,Melons
123,124.0,Strawberries
124,125.0,Grapes/ all
125,126.0,Dried fruit
126,127.0,Other fruits
127,128.0,Orange/grpfrt jce/ all
128,129.0,Other juice
129,130.0,Tomato/veg juice/ all
130,131.0,Beans
131,132.0,Chili
132,133.0,"Potatoes/ white, no fat added"
133,134.0,Potatoes/ fried
134,135.0,Potato salads
135,136.0,"Sweet potatoes, no fat added"
136,137.0,Pickled veg/frt
137,138.0,Raw spinach/greens
138,139.0,"Ckd spinach/greens, no fat added"
139,140.0,"Broccoli, no fat added"
140,141.0,"Carrots, no fat added"
141,142.0,Tomatoes/ raw
142,143.0,Tomato salsa
143,144.0,Tomato catsup
144,145.0,"String beans, no fat added"
145,146.0,Cabbage/sauerkraut
146,147.0,Coleslaw
147,148.0,"Peas, no fat added"
148,149.0,"Corn, no fat added"
149,150.0,"Caulifl/Br Spr, no fat added"
150,151.0,"Peppers, no fat added"
151,152.0,"Onions, no fat added"
152,153.0,"Veg med, no fat added"
153,154.0,"Other vegetables, no fat added"
154,155.0,Margarine/ reg on bread/pan/waff
155,156.0,Margarine/ low-fat on bread/pan/waff
156,157.0,Butter/ reg on bread/pan/waff
157,158.0,Butter/ reduced fat on bread/pan/waff
158,159.0,Margarine/ reg on pot/veg/grains
159,160.0,Margarine/ diet on pot/veg/grains
160,161.0,Butter/ reg on pot/veg/grains
161,162.0,Butter/ reduced fat on pot/veg/grains
162,163.0,Oils/ olive
163,164.0,Oils/ corn
164,165.0,Oils/ canola
165,166.0,Oils/ other
166,167.0,Salad drsg/ all on salad or veg
167,168.0,Mayonnaise/ reg
168,169.0,Mayonnaise/ diet
169,170.0,Maple syrup on pancakes/ etc
170,171.0,Sugars/honey/ not in coffee/tea
171,172.0,Sugars/honey/ all in coffee or tea
172,173.0,Candy/ chocolate
173,174.0,Candy/ not chocolate
174,175.0,Jams/ jelly/ frt butters
175,176.0,Coffee/ reg/ no cr/sug
176,177.0,Coffee/ decaf/ no cr/sug
177,178.0,Tea/ reg/ no cr/sug
178,179.0,Tea/ decaf/ no cr/sug
179,180.0,Soft drinks/ reg/ caff
180,181.0,Soft drinks/ reg/ decaf
181,182.0,Soft drinks/ diet/ caff
182,183.0,Soft drinks/ diet/ decaf
183,184.0,Fruit drinks/ reg
184,185.0,Frt drinks/ diet
185,186.0,Alc bev/ liquor
186,187.0,Beer
187,188.0,Wine
188,189.0,Gravy
189,190.0,Artificial sweetener in coffee/tea
190,191.0,Apple juice
191,192.0,Grape juice
192,193.0,"Milk, unpasteurized not in coffee/tea"
193,194.0,"Milk, unpasteurized in cereal"
194,195.0,"Milk, unpasteurized in coffee/tea"
195,196.0,Oatmeal
196,197.0,Hot brkfst cereals/ (not oatmeal)
197,198.0,RTE cereal/> half whole grain
198,199.0,Pineapple
199,200.0,Cucumbers
200,201.0,Squash
201,202.0,Lettuce/ dark green
202,203.0,"Lettuce, not dark green"
203,204.0,Tortillas/tacos/ corn
204,205.0,Tortillas/tacos/ wheat
205,206.0,Rice/grains/ whlgrn
206,207.0,Fish/ smoked
207,208.0,Sushi/ raw fish
208,209.0,Sushi/ no raw fish
209,210.0,Potato/othr chips (not corn)/ reg
210,211.0,Potato/othr chips (not corn)/ lowfat
211,212.0,Corn chips/ reg
212,213.0,Corn chips/ lowfat
213,214.0,Milk/ other to drink
214,215.0,Milk/ other in cereal
215,216.0,Milk/ other in coffee/tea
